timestamp,model,split,imbalance_strategy,notes,precision,recall,f1,pr_auc,mcc,roc_auc,accuracy,tp,fp,fn,tn,threshold,n_test,n_test_fraud
2026-08-26T10:04:01+00:00,xgboost,drift_sliding_block6,none,phase4 drift,0.9767441860465116,0.6774193548387096,0.8,0.8360670764061046,0.8132472380227487,0.9673874943760268,0.9995748127151245,42,1,20,49327,0.5,49390,62
2026-08-26T10:04:02+00:00,xgboost,drift_sliding_block7,none,phase4 drift,0.9736842105263158,0.7115384615384616,0.8222222222222222,0.7681836301595942,0.8321908134195791,0.9831594196642944,0.9996263690073092,37,1,15,42770,0.5,42823,52
2026-08-26T10:04:41+00:00,xgboost,drift_static_block2,none,phase4 drift,0.96,0.7384615384615385,0.8347826086956521,0.906123702647643,0.8416858329322706,0.9929159768104509,0.9993604201030061,48,2,17,29640,0.5,29707,65
2026-08-26T10:04:41+00:00,xgboost,drift_static_block3,none,phase4 drift,1.0,0.4222222222222222,0.59375,0.6732703079330679,0.6495143293784842,0.9392190973228955,0.9991636106285788,19,0,26,31041,0.5,31086,45
2026-08-26T10:04:42+00:00,xgboost,drift_static_block4,none,phase4 drift,1.0,0.4883720930232558,0.65625,0.7757999017206417,0.6985968063456609,0.9349983729844393,0.9993153242873148,21,0,22,32089,0.5,32132,43
2026-08-26T10:04:43+00:00,xgboost,drift_static_block5,none,phase4 drift,0.95,0.5,0.6551724137931034,0.692084550996108,0.6889781521079125,0.9512828061452575,0.9994087563189168,19,1,19,33788,0.5,33827,38
2026-08-26T10:04:43+00:00,xgboost,drift_static_block6,none,phase4 drift,0.7222222222222222,0.6046511627906976,0.6582278481012658,0.6981950967017695,0.659368259218964,0.9930845160314656,0.9970381746379992,26,10,17,9063,0.5,9116,43
2026-08-26T10:04:43+00:00,xgboost,drift_static_block7,none,phase4 drift,0.8235294117647058,0.6086956521739131,0.7,0.7692875300397253,0.7073528482345384,0.9864770532816329,0.9985974754558204,14,3,9,8530,0.5,8556,23
2026-08-26T10:04:44+00:00,xgboost,drift_static_block8,none,phase4 drift,0.8,0.38095238095238093,0.5161290322580645,0.5904772436364789,0.5518519073950025,0.9499200072106176,0.9994933630560341,8,2,13,29584,0.5,29607,21
2026-08-26T10:04:44+00:00,xgboost,drift_static_block9,none,phase4 drift,1.0,0.47368421052631576,0.6428571428571429,0.7059067493126879,0.6880353419743283,0.9563164864518785,0.999384785751638,18,0,20,32471,0.5,32509,38
2026-08-26T10:04:45+00:00,xgboost,drift_static_block10,none,phase4 drift,1.0,0.6111111111111112,0.7586206896551724,0.7907693439970761,0.7814862857338152,0.9855937647933996,0.9993619736282433,33,0,21,32860,0.5,32914,54
2026-08-26T10:04:46+00:00,xgboost,drift_static_block11,none,phase4 drift,0.875,0.3181818181818182,0.4666666666666667,0.48562334995789985,0.5274449895661995,0.934720222246373,0.9994027622247107,7,1,15,26767,0.5,26790,22
2026-08-26T10:04:56+00:00,xgboost,drift_expanding_block2,none,phase4 drift,0.96,0.7384615384615385,0.8347826086956521,0.906123702647643,0.8416858329322706,0.9929159768104509,0.9993604201030061,48,2,17,29640,0.5,29707,65
2026-08-26T10:04:57+00:00,xgboost,drift_expanding_block3,none,phase4 drift,1.0,0.6,0.75,0.7481205052901491,0.7743721809976032,0.9661104131095433,0.9994209612044007,27,0,18,31041,0.5,31086,45
2026-08-26T10:04:58+00:00,xgboost,drift_expanding_block4,none,phase4 drift,1.0,0.6744186046511628,0.8055555555555556,0.812705579503283,0.8210508468925152,0.9448213435452415,0.9995642972737458,29,0,14,32089,0.5,32132,43
2026-08-26T10:04:59+00:00,xgboost,drift_expanding_block5,none,phase4 drift,0.9310344827586207,0.7105263157894737,0.8059701492537313,0.7665757492733485,0.8131655190555558,0.976541727220475,0.9996156916072959,27,2,11,33787,0.5,33827,38
2026-08-26T10:05:00+00:00,xgboost,drift_expanding_block6,none,phase4 drift,0.85,0.7906976744186046,0.8192771084337349,0.792826124890346,0.8189917552004137,0.9867995765611743,0.998354541465555,34,6,9,9067,0.5,9116,43
2026-08-26T10:05:02+00:00,xgboost,drift_expanding_block7,none,phase4 drift,0.8,0.6956521739130435,0.7441860465116279,0.8309771705667445,0.7453701328849858,0.9897686220759303,0.9987143525011688,16,4,7,8529,0.5,8556,23
2026-08-26T10:05:03+00:00,xgboost,drift_expanding_block8,none,phase4 drift,0.75,0.7142857142857143,0.7317073170731707,0.7326128574236583,0.7317395162117867,0.9896009373802924,0.9996284662410916,15,5,6,29581,0.5,29607,21
2026-08-26T10:05:05+00:00,xgboost,drift_expanding_block9,none,phase4 drift,1.0,0.7368421052631579,0.8484848484848485,0.7981456602391833,0.8582629270762387,0.9729848010127254,0.999692392875819,28,0,10,32471,0.5,32509,38
2026-08-26T10:05:07+00:00,xgboost,drift_expanding_block10,none,phase4 drift,0.975,0.7222222222222222,0.8297872340425532,0.8383739019089723,0.8389323382392165,0.994790469105746,0.9995138846691377,39,1,15,32859,0.5,32914,54
2026-08-26T10:05:09+00:00,xgboost,drift_expanding_block11,none,phase4 drift,0.875,0.6363636363636364,0.7368421052631579,0.7112460583870108,0.7460312887619687,0.9627574308536652,0.9996267263904441,14,2,8,26766,0.5,26790,22
2026-08-26T10:05:36+00:00,xgboost,drift_sliding_block2,none,phase4 drift,0.96,0.7384615384615385,0.8347826086956521,0.906123702647643,0.8416858329322706,0.9929159768104509,0.9993604201030061,48,2,17,29640,0.5,29707,65
2026-08-26T10:05:37+00:00,xgboost,drift_sliding_block3,none,phase4 drift,1.0,0.6,0.75,0.7426972916400366,0.7743721809976032,0.9683991423529453,0.9994209612044007,27,0,18,31041,0.5,31086,45
2026-08-26T10:05:38+00:00,xgboost,drift_sliding_block4,none,phase4 drift,1.0,0.6744186046511628,0.8055555555555556,0.8144039524610934,0.8210508468925152,0.9482565568002366,0.9995642972737458,29,0,14,32089,0.5,32132,43
2026-08-26T10:05:39+00:00,xgboost,drift_sliding_block5,none,phase4 drift,0.8666666666666667,0.6842105263157895,0.7647058823529411,0.7427325163843768,0.769829178544593,0.9846189432562139,0.9995270050551335,26,4,12,33785,0.5,33827,38
2026-08-26T10:05:40+00:00,xgboost,drift_sliding_block6,none,phase4 drift,0.8974358974358975,0.813953488372093,0.8536585365853658,0.7951961985413827,0.8540248474038864,0.9890756884084903,0.998683633172444,35,4,8,9069,0.5,9116,43
2026-08-26T10:05:40+00:00,xgboost,drift_sliding_block7,none,phase4 drift,0.9411764705882353,0.6956521739130435,0.8,0.8623859015090604,0.8087341849878608,0.9847956017303665,0.9990649836372136,16,1,7,8532,0.5,8556,23
2026-08-26T10:05:41+00:00,xgboost,drift_sliding_block8,none,phase4 drift,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.602623706832317,0.49469608593113074,0.984934959585132,0.9994595872597697,6,1,15,29585,0.5,29607,21
2026-08-26T10:05:41+00:00,xgboost,drift_sliding_block9,none,phase4 drift,1.0,0.6842105263157895,0.8125,0.7760437925917824,0.8270173894918622,0.9362791738052902,0.9996308714509828,26,0,12,32471,0.5,32509,38
2026-08-26T10:05:42+00:00,xgboost,drift_sliding_block10,none,phase4 drift,1.0,0.7037037037037037,0.8260869565217391,0.8128452938030984,0.838666338389455,0.9884769279321928,0.9995138846691377,38,0,16,32860,0.5,32914,54
2026-08-26T10:05:43+00:00,xgboost,drift_sliding_block11,none,phase4 drift,0.8,0.7272727272727273,0.7619047619047619,0.7240561482340572,0.7625848574841024,0.946954131119926,0.9996267263904441,16,4,6,26764,0.5,26790,22
